Collective spatial keyword querying,Xin Cao; Gao Cong; Christian S Jensen; Beng Chin Ooi,Abstract With the proliferation of geo-positioning and geo-tagging; spatial web objects thatpossess both a geographical location and a textual description are gaining in prevalence;and spatial keyword queries that exploit both location and textual description are gaining inprominence. However; the queries studied so far generally focus on finding individualobjects that each satisfy a query rather than finding groups of objects where the objects in agroup collectively satisfy a query. We define the problem of retrieving a group of spatial webobjects such that the group's keywords cover the query's keywords and such that objects arenearest to the query location and have the lowest inter-object distances. Specifically; westudy two variants of this problem; both of which are NP-complete. We devise exact solutionsas well as approximate solutions with provable approximation bounds to the problems …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,295
Mining significant semantic locations from GPS data,Xin Cao; Gao Cong; Christian S Jensen,Abstract With the increasing deployment and use of GPS-enabled devices; massiveamounts of GPS data are becoming available. We propose a general framework for themining of semantically meaningful; significant locations; eg; shopping malls and restaurants;from such data. We present techniques capable of extracting semantic locations from GPSdata. We capture the relationships between locations and between locations and users witha graph. Significance is then assigned to locations using random walks over the graph thatpropagates significance among the locations. In doing so; mutual reinforcement betweenlocation significance and user authority is exploited for determining significance; as areaspects such as the number of visits to a location; the durations of the visits; and thedistances users travel to reach locations. Studies using up to 100 million GPS records …,Proceedings of the VLDB Endowment,2010,280
Retrieving top-k prestige-based relevant spatial web objects,Xin Cao; Gao Cong; Christian S Jensen,Abstract The location-aware keyword query returns ranked objects that are near a querylocation and that have textual descriptions that match query keywords. This query occursinherently in many types of mobile and traditional web services and applications; eg; YellowPages and Maps services. Previous work considers the potential results of such a query asbeing independent when ranking them. However; a relevant result object with nearbyobjects that are also relevant to the query is likely to be preferable over a relevant objectwithout relevant nearby objects. The paper proposes the concept of prestige-basedrelevance to capture both the textual relevance of an object to a query and the effects ofnearby objects. Based on this; a new type of query; the Location-aware top-k Prestige-basedText retrieval (LkPT) query; is proposed that retrieves the top-k spatial web objects ranked …,Proceedings of the VLDB Endowment,2010,214
Spatial Keyword Querying,Xin Cao; Lisi Chen; Gao Cong; Christian Jensen; Qiang Qu; Anders Skovsgaard; Dingming Wu; Man Yiu,Abstract The web is increasingly being used by mobile users. In addition; it is increasinglybecoming possible to accurately geo-position mobile users and web content. Thisdevelopment gives prominence to spatial web data management. Specifically; a spatialkeyword query takes a user location and user-supplied keywords as arguments and returnsweb objects that are spatially and textually relevant to these arguments. This paper reviewsrecent results by the authors that aim to achieve spatial keyword querying functionality that iseasy to use; relevant to users; and can be supported efficiently. The paper covers differentkinds of functionality as well as the ideas underlying their definition.,Conceptual Modeling,2012,130
The use of categorization information in language models for question retrieval,Xin Cao; Gao Cong; Bin Cui; Christian Søndergaard Jensen; Ce Zhang,Abstract Community Question Answering (CQA) has emerged as a popular type of servicemeeting a wide range of information needs. Such services enable users to ask and answerquestions and to access existing question-answer pairs. CQA archives contain very largevolumes of valuable user-generated content and have become important informationresources on the Web. To make the body of knowledge accumulated in CQA archivesaccessible; effective and efficient question search is required. Question search in a CQAarchive aims to retrieve historical questions that are relevant to new questions posed byusers. This paper proposes a category-based framework for search in CQA archives. Theframework embodies several new techniques that use language models to exploitcategories of questions for improving question-answer search. Experiments conducted on …,Proceedings of the 18th ACM conference on Information and knowledge management,2009,99
A generalized framework of exploring category information for question retrieval in community question answer archives,Xin Cao; Gao Cong; Bin Cui; Christian S Jensen,Abstract Community Question Answering (CQA) has emerged as a popular type of servicewhere users ask and answer questions and access historical question-answer pairs. CQAarchives contain very large volumes of questions organized into a hierarchy of categories.As an essential function of CQA services; question retrieval in a CQA archive aims to retrievehistorical question-answer pairs that are relevant to a query question. In this paper; wepresent a new approach to exploiting category information of questions for improving theperformance of question retrieval; and we apply the approach to existing question retrievalmodels; including a state-of-the-art question retrieval model. Experiments conducted on realCQA data demonstrate that the proposed techniques are capable of outperforming a varietyof baseline methods significantly.,Proceedings of the 19th international conference on World wide web,2010,89
Keyword-aware optimal route search,Xin Cao; Lisi Chen; Gao Cong; Xiaokui Xiao,Abstract Identifying a preferable route is an important problem that finds applications in mapservices. When a user plans a trip within a city; the user may want to find" a most popularroute such that it passes by shopping mall; restaurant; and pub; and the travel time to andfrom his hotel is within 4 hours." However; none of the algorithms in the existing work onroute planning can be used to answer such queries. Motivated by this; we define theproblem of keyword-aware optimal route query; denoted by KOR; which is to find an optimalroute such that it covers a set of user-specified keywords; a specified budget constraint issatisfied; and an objective score of the route is optimal. The problem of answering KORqueries is NP-hard. We devise an approximation algorithm OSScaling with provableapproximation bounds. Based on this algorithm; another more efficient approximation …,Proceedings of the VLDB Endowment,2012,55
Temporal spatial-keyword top-k publish/subscribe,Lisi Chen; Gao Cong; Xin Cao; Kian-Lee Tan,Massive amount of data that are geo-tagged and associated with text information are beinggenerated at an unprecedented scale. These geo-textual data cover a wide range of topics.Users are interested in receiving up-to-date tweets such that their locations are close to auser specified location and their texts are interesting to users. For example; a user may wantto be updated with tweets near her home on the topic “food poisoning vomiting.” Weconsider the Temporal Spatial-Keyword Top-k Subscription (TaSK) query. Given a TaSKquery; we continuously maintain up-to-date top-k most relevant results over a stream of geo-textual objects (eg; geo-tagged Tweets) for the query. The TaSK query takes into accounttext relevance; spatial proximity; and recency of geo-textual objects in evaluating itsrelevance with a geo-textual object. We propose a novel solution to efficiently process a …,Data Engineering (ICDE); 2015 IEEE 31st International Conference on,2015,54
A Foundation for Efficient Indoor Distance-Aware Query Processing,Hua Lu; Xin Cao; Christian S Jensen,Indoor spaces accommodate large numbers of spatial objects; eg; points of interest (POIs);and moving populations. A variety of services; eg; location-based services and securitycontrol; are relevant to indoor spaces. Such services can be improved substantially if theyare capable of utilizing indoor distances. However; existing indoor space models do notaccount well for indoor distances. To address this shortcoming; we propose a datamanagement infrastructure that captures indoor distance and facilitates distance-awarequery processing. In particular; we propose a distance-aware indoor space model thatintegrates indoor distance seamlessly. To enable the use of the model as a foundation forquery processing; we develop accompanying; efficient algorithms that compute indoordistances for different indoor entities like doors as well as locations. We also propose an …,2012 IEEE 28th International Conference on Data Engineering,2012,44
An efficient query indexing mechanism for filtering geo-textual data,Lisi Chen; Gao Cong; Xin Cao,Abstract Massive amount of data that are geo-tagged and associated with text informationare being generated at an unprecedented scale. Users may want to be notified of interestinggeo-textual objects during a period of time. For example; a user may want to be informedwhen tweets containing term" garage sale" are posted within 5 km of the user's home in thenext 72 hours. In this paper; for the first time we study the problem of matching a stream ofincoming Boolean Range Continuous queries over a stream of incoming geo-textual objectsin real time. We develop a new system for addressing the problem. In particular; we proposea hybrid index; called IQ-tree; and novel cost models for managing a stream of incomingBoolean Range Continuous queries. We also propose algorithms for matching the querieswith incoming geo-textual objects based on the index. Results of empirical studies with …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,39
